Name,Year,Rating,Liked,Watch Date,Runtime,Rewatched,Letterboxd URI
Freelance,2023,2.0,,,,,https://letterboxd.com/film/freelance-2023/
Friday the 13th,1980,3.0,,,,,https://letterboxd.com/film/friday-the-13th/
Friday the 13th Part 2,1981,1.5,,,,,https://letterboxd.com/film/friday-the-13th-part-2/
Furiosa: A Mad Max Saga,2024,3.0,,,,,https://letterboxd.com/film/furiosa-a-mad-max-saga/
Game Night,2018,3.5,,,,,https://letterboxd.com/film/game-night/
Get Out,2017,4.5,,,,,https://letterboxd.com/film/get-out-2017/
Glass Onion,2022,3.5,,,,,https://letterboxd.com/film/glass-onion/
Good Boy,2025,4.0,,,,,https://letterboxd.com/film/good-boy-2025/
"Good Luck, Have Fun, Don't Die",2025,3.5,,2026-04-15T00:00:00.000000Z,134,,https://letterboxd.com/film/good-luck-have-fun-dont-die/
Gremlins,1984,2.0,,2026-04-04T00:00:00.000000Z,106,,https://letterboxd.com/film/gremlins/
Guardians of the Galaxy,2014,3.5,,,,,https://letterboxd.com/film/guardians-of-the-galaxy/
Guardians of the Galaxy Vol. 2,2017,1.0,,,,,https://letterboxd.com/film/guardians-of-the-galaxy-vol-2/
Hannibal,2001,2.5,,,,,https://letterboxd.com/film/hannibal/
Happy Death Day,2017,3.5,,,,,https://letterboxd.com/film/happy-death-day/
Heat,1995,3.0,,,,,https://letterboxd.com/film/heat-1995/
Hell House LLC,2015,3.5,,2026-04-18T00:00:00.000000Z,91,,https://letterboxd.com/film/hell-house-llc/
Hereditary,2018,4.5,,,,,https://letterboxd.com/film/hereditary/
Heretic,2024,4.0,,,,,https://letterboxd.com/film/heretic-2024/
Hold the Dark,2018,2.0,,,,,https://letterboxd.com/film/hold-the-dark/
In the Earth,2021,2.5,,2026-02-24T00:00:00.000000Z,107,,https://letterboxd.com/film/in-the-earth/
Inception,2010,4.5,,,,,https://letterboxd.com/film/inception/
Indiana Jones and the Temple of Doom,1984,4.0,,,,,https://letterboxd.com/film/indiana-jones-and-the-temple-of-doom/
Infinity Pool,2023,4.0,,2026-03-19T00:00:00.000000Z,118,,https://letterboxd.com/film/infinity-pool/
Insomnia,2002,4.5,,,,,https://letterboxd.com/film/insomnia-2002/
Interceptor,2022,0.5,,,,,https://letterboxd.com/film/interceptor-2022/
Interstellar,2014,5.0,,,,,https://letterboxd.com/film/interstellar/
Invasion of the Body Snatchers,1978,4.5,,,,,https://letterboxd.com/film/invasion-of-the-body-snatchers-1978/
It,2017,4.0,,,,,https://letterboxd.com/film/it-2017/
It Chapter Two,2019,2.0,,2025-12-06T00:00:00.000000Z,169,,https://letterboxd.com/film/it-chapter-two/
Jakob's Wife,2021,3.5,,2026-03-19T00:00:00.000000Z,98,,https://letterboxd.com/film/jakobs-wife/
Jarhead,2005,2.5,,,,,https://letterboxd.com/film/jarhead/
John Wick,2014,4.0,,,,,https://letterboxd.com/film/john-wick/
Jojo Rabbit,2019,1.5,,,,,https://letterboxd.com/film/jojo-rabbit/
Jurassic Park,1993,5.0,,,,,https://letterboxd.com/film/jurassic-park/
Jurassic World Rebirth,2025,4.0,,,,,https://letterboxd.com/film/jurassic-world-rebirth/
Keanu,2016,3.0,,,,,https://letterboxd.com/film/keanu/
Kill Bill: Vol. 1,2003,3.0,,,,,https://letterboxd.com/film/kill-bill-vol-1/
Kill List,2011,3.5,,2026-04-10T00:00:00.000000Z,95,,https://letterboxd.com/film/kill-list/
Killers of the Flower Moon,2023,1.5,,,,,https://letterboxd.com/film/killers-of-the-flower-moon/
Knives Out,2019,5.0,,,,,https://letterboxd.com/film/knives-out-2019/
Lake Mungo,2008,3.0,,,,,https://letterboxd.com/film/lake-mungo/
Late Night with the Devil,2023,4.0,,,,,https://letterboxd.com/film/late-night-with-the-devil/
Law Abiding Citizen,2009,3.0,,,,,https://letterboxd.com/film/law-abiding-citizen/
Let Me In,2010,3.5,,,,,https://letterboxd.com/film/let-me-in/
Let the Right One In,2008,4.5,,,,,https://letterboxd.com/film/let-the-right-one-in/
Longlegs,2024,2.0,,,,,https://letterboxd.com/film/longlegs/
M3GAN,2022,3.0,,,,,https://letterboxd.com/film/m3gan/
M3GAN 2.0,2025,1.5,,,,,https://letterboxd.com/film/m3gan-20/
Mad Max: Fury Road,2015,5.0,,,,,https://letterboxd.com/film/mad-max-fury-road/
Mandy,2018,1.0,,2026-04-10T00:00:00.000000Z,122,,https://letterboxd.com/film/mandy-2018/
Maniac Cop,1988,1.5,,,,,https://letterboxd.com/film/maniac-cop/
Marshmallow,2025,4.0,,,,,https://letterboxd.com/film/marshmallow-2025/
Memento,2000,4.5,,,,,https://letterboxd.com/film/memento/
Mickey 17,2025,3.0,,,,,https://letterboxd.com/film/mickey-17/
Midsommar,2019,4.5,,,,,https://letterboxd.com/film/midsommar/
Monkey Man,2024,2.0,,,,,https://letterboxd.com/film/monkey-man/
Nightcrawler,2014,4.0,,,,,https://letterboxd.com/film/nightcrawler/
Non-Stop,2014,3.0,,,,,https://letterboxd.com/film/non-stop-2014/
